Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Суприма-Бронхо,*Адатоды сосудистой экстракт густой+Базилика священного экстракт густой+Имбиря лекарственного экстракт густой+Кардамона настоящего экстракт густой+Куркумы длинной экстракт густой+Паслена желтоплодного экстракт густой+Перца длинного экстракт густой+Солодки голой экстракт густой,сироп,,
БРОНХОЗОЛОЭ,*Адатоды сосудистой экстракт густой+Базилика священного экстракт густой+Имбиря лекарственного экстракт густой+Кардамона настоящего экстракт густой+Куркумы длинной экстракт густой+Паслена желтоплодного экстракт густой+Перца длинного экстракт густой+Солодки голой экстракт густой,раствор для приема внутрь,,
Демидовский эликсир,*Аира корневищ экстракт+Бадана корневищ экстракт+Березы почек экстракт+Боярышника плодов экстракт+Дуба коры экстракт+Душицы обыкновенной травы экстракт+Женьшеня настоящего корней экстракт+Зверобоя продырявленного травы экстракт+Кориандра плодов экстракт+Ла,эликсир,,
Демидовский сироп,*Аира корневищ экстракт+Бадана корневищ экстракт+Березы почек экстракт+Боярышника плодов экстракт+Дуба коры экстракт+Душицы обыкновенной травы экстракт+Женьшеня настоящего корней экстракт+Зверобоя продырявленного травы экстракт+Кориандра плодов экстракт+Ла,сироп,,
Бронхофактор,*Алоэ+Базилик+Девясил+Имбирь+Куркума+Левоментол+Паслен+Перец кубеба+Солодка+Терминалия белерика+Юстиция адатода,сироп,,
Доктор Мом,*Алоэ+Базилик+Девясил+Имбирь+Куркума+Левоментол+Паслен+Перец кубеба+Солодка+Терминалия белерика+Юстиция адатода,сироп,,
Релцер,*Алюминия гидроксид+Магния гидроксид+Симетикон+Солодки корни,таблетки,,
Релцер,*Алюминия гидроксид+Магния гидроксид+Симетикон+Солодки корни,суспензия для приема внутрь,,
Кустодиол,*Аминокислоты+Кетокислоты+Минералы,раствор для перфузий,,
РЕЛБИНОР,*Аминокислоты+Кетокислоты+Минералы,раствор для перфузий,,
Простопин,*Апилак+Мед натуральный+Перга+Прополис+Пыльца цветочная (обножка),суппозитории ректальные,,
ПРОСТОУРИТ,*Апилак+Мед натуральный+Перга+Прополис+Пыльца цветочная (обножка),суппозитории ректальные,,
КАПСИКАМ®,*Бензилникотинат+Диметилсульфоксид+Камфора+Нонивамид+Скипидар живичный,мазь для наружного применения,,
КРЕПСИДЕРМ,*Бензилникотинат+Диметилсульфоксид+Камфора+Нонивамид+Скипидар живичный,мазь для наружного применения,,
Фелозилит,*Береза+Горец птичий+Золотарник+Лук+Любисток+Пажитник+Петрушка+Пырей+Хвощ,паста для приготовления суспензии для приема внутрь,,
Уролинеф,*Береза+Горец птичий+Золотарник+Лук+Любисток+Пажитник+Петрушка+Пырей+Хвощ,паста для приготовления суспензии для приема внутрь,,
Фитолизин,*Береза+Горец птичий+Золотарник+Лук+Любисток+Пажитник+Петрушка+Пырей+Хвощ,паста для приготовления суспензии для приема внутрь,,
Амбене Био,*Биоактивный концентрат мелких морских рыб,раствор для инъекций,,
ЭЛТУФЛОП® БИО,*Биоактивный концентрат мелких морских рыб,раствор для инъекций,,
Алфлутоп,*Биоактивный концентрат мелких морских рыб,раствор для инъекций,,
Форземаре,*Биоактивный концентрат мелких морских рыб,раствор для внутримышечного и внутрисуставного введения,50 ЕД/мл,
Ново-Пассит,*Боярышника плодов экстракт+Бузины черной цветков экстракт+Валерианы лекарственной корневищ с корнями экстракт+Гвайфенезин+Зверобоя продырявленного травы экстракт+Мелиссы лекарственной травы экстракт+Страстоцвета мясо-красного травы экстракт+Хмеля соплодий,раствор для приема внутрь,,
Ново-Персон,*Боярышника плодов экстракт+Бузины черной цветков экстракт+Валерианы лекарственной корневищ с корнями экстракт+Гвайфенезин+Зверобоя продырявленного травы экстракт+Мелиссы лекарственной травы экстракт+Страстоцвета мясо-красного травы экстракт+Хмеля соплодий,раствор для приема внутрь,,
Ново-Пассит,*Боярышника плодов экстракт+Бузины черной цветков экстракт+Валерианы лекарственной корневищ с корнями экстракт+Гвайфенезин+Зверобоя продырявленного травы экстракт+Мелиссы лекарственной травы экстракт+Страстоцвета мясо-красного травы экстракт+Хмеля соплодий,"таблетки, покрытые пленочной оболочкой",,
НОВО-ПЕРСОН,*Боярышника плодов экстракт+Бузины черной цветков экстракт+Валерианы лекарственной корневищ с корнями экстракт+Гвайфенезин+Зверобоя продырявленного травы экстракт+Мелиссы лекарственной травы экстракт+Страстоцвета мясо-красного травы экстракт+Хмеля соплодий,"таблетки, покрытые пленочной оболочкой",,
Орвис Рино,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,"таблетки, покрытые пленочной оболочкой",,
Синупрет,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,"таблетки, покрытые оболочкой",,
Синусовит,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,"таблетки, покрытые оболочкой",,
Синупрет,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,капли для приема внутрь,,
Орвис Рино,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,капли для приема внутрь,,
СИНУКАП,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,капли для приема внутрь,,
НАЗУФИТОЛ,*Бузины цветков экстракт+Вербены травы экстракт+Горечавки корень экстракт+Первоцвета цветков экстракт+Щавеля травы экстракт,капли для приема внутрь,,
Церебролизин®,"*Комплекс пептидов, выделенных из головного мозга свньи",раствор для инъекций,215.2 мг/мл,
Церебринэль,"*Комплекс пептидов, выделенных из головного мозга свньи",раствор для инъекций,,
Церебропепт,"*Комплекс пептидов, выделенных из головного мозга свньи",раствор для инъекций,,
Церебрестан,"*Комплекс пептидов, выделенных из головного мозга свньи",раствор для инъекций,,
Дышесол,*Масло листьев мяты перечной+Масло сосны+Масло листьев эвкалипта+Тимол+альфа-Токоферола ацетат+Гвайазулен,капли назальные,,
Кодесол® Пино,*Масло листьев мяты перечной+Масло сосны+Масло листьев эвкалипта+Тимол+альфа-Токоферола ацетат+Гвайазулен,капли назальные,,
Пиносол,*Масло листьев мяты перечной+Масло сосны+Масло листьев эвкалипта+Тимол+альфа-Токоферола ацетат+Гвайазулен,капли назальные,,
Пиносол,*Масло листьев мяты перечной+Масло сосны+Масло листьев эвкалипта+Тимол+альфа-Токоферола ацетат+Гвайазулен,спрей назальный,,
Пульмекс бэби,*Масло розмарина+Масло листьев эвкалипта+Камфора+Перуанский бальзам,мазь для наружного применения,,
Подорожника настойка,*Подорожника большого листья настойка,настойка,,
Подорожника настойка,*Подорожника большого листья настойка,настойка,,
Офтолик БК,*Поливиниловый спирт+Повидон,капли глазные,,
Офтолик,*Поливиниловый спирт+Повидон,капли глазные,,
"Препарат ""КК"" Кошачий коготь",*Ункарии томентозы коры экстракт сухой,"таблетки, покрытые пленочной оболочкой",20 мг,
"Препарат ""КК"" Кошачий коготь",*Ункарии томентозы коры экстракт сухой,капсулы,20 мг,
Цернилтон,*Цернилтон,"таблетки, покрытые пленочной оболочкой",,
Цернилтон,*Цернилтон,таблетки,,
Цернилтон форте,*Цернилтон,капсулы,,
Клензит,Адапален,гель для наружного применения,0.1%,
Дифферин,Адапален,гель для наружного применения,0.1%,
Адолен,Адапален,гель для наружного применения,0.1%,
Адаклин,Адапален,крем для наружного применения,0.1%,
Дифферин,Адапален,крем для наружного применения,0.1%,
Эффезел®,Адапален+Бензоила пероксид,гель для наружного применения,1 мг/г+25 мг/г,
Акнетико Дуо,Адапален+Бензоила пероксид,гель для наружного применения,1 мг/г+25 мг/г,
Клензит-С,Адапален+Клиндамицин,гель для наружного применения,,
АДАПАЛЕН+КЛИНДАМИЦИН ИДЕЯ ФАРМ,Адапален+Клиндамицин,гель для наружного применения,1 мг/г+10 мг/г,
Клензит-С микросферы,Адапален+Клиндамицин,гель для наружного применения,,
"Растворы ЦФГ и С.А.Г.М. ""Теруфлекс""",Аденин+Декстроза+Лимонная кислота+Маннитол+Натрия дигидрофосфат+Натрия цитрат+Натрия хлорид,раствор гемоконсерванта,,
ЦФД/САГМ,Аденин+Декстроза+Лимонная кислота+Маннитол+Натрия дигидрофосфат+Натрия цитрат+Натрия хлорид,раствор гемоконсерванта,,
ЦФДА-1,Аденин+Декстроза+Лимонная кислота+Натрия дигидрофосфат+Натрия цитрат,раствор гемоконсерванта,,
Фаглюцид,Аденин+Декстроза+Лимонная кислота+Натрия дигидрофосфат+Натрия цитрат,раствор гемоконсерванта,,
ЦФДА-1,Аденин+Декстроза+Лимонная кислота+Натрия дигидрофосфат+Натрия цитрат,раствор гемоконсерванта,,
Офтаринт,Аденозин+Никотинамид+Цитохром С,капли глазные,,
НЕОКАТАХРОМ,Аденозин+Никотинамид+Цитохром С,капли глазные,2 мг/мл+20 мг/мл+0.675 мг/мл,
Цикатамид,Аденозин+Никотинамид+Цитохром С,капли глазные,2 мг/мл+20 мг/мл+0.675 мг/мл,
Офтан Катахром,Аденозин+Никотинамид+Цитохром С,капли глазные,,
Пентамин,Азаметония бромид,раствор для внутривенного и внутримышечного введения,50 мг/мл,
Пентамин,Азаметония бромид,раствор для внутривенного и внутримышечного введения,50 мг/мл,
Пентамин,Азаметония бромид,раствор для внутривенного и внутримышечного введения,50 мг/мл,
Вайдаза®,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,100 мг,
Фармазацит,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,25 мг/мл,
Азацитидин-Амедарт,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,25 мг/мл,
Азацитидин-Ника,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,25 мг/мл,
Азацитидин Эльфа®,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,25 мг/мл,
АЗАЦИТИДИН-ТЛ,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,100 мг,
Джоцитадин,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,100 мг,
АЗАЦИТИДИН-ПРОМОМЕД,Азацитидин,лиофилизат для приготовления суспензии для подкожного введения,25 мг/мл,
Скинорен,Азелаиновая кислота,гель для наружного применения,0.15,
Скиноклир,Азелаиновая кислота,гель для наружного применения,0.15,
Азелик,Азелаиновая кислота,гель для наружного применения,0.15,
Скинорен,Азелаиновая кислота,крем для наружного применения,0.2,
Азикс-Дерм,Азелаиновая кислота,крем для наружного применения,0.2,
Азелаиновая кислота - ВЕРТЕКС,Азелаиновая кислота,крем для наружного применения,0.2,
Скиноклир,Азелаиновая кислота,крем для наружного применения,0.2,
МОМАТ РИНО АДВАНС,Азеластин+Мометазон,спрей назальный дозированный,140 мкг+50 мкг/доза,
Ринетазон Комбо,Азеластин+Мометазон,спрей назальный дозированный,140 мкг+50 мкг/доза,
Азидроп,Азитромицин,капли глазные,15 мг/г,
АЗИБАКТА,Азитромицин,капли глазные,15 мг/г,
Викалин Авексима,Аира корневища+Висмута субнитрат+Келлин+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат+Рутозид,таблетки,,
Викалин,Аира корневища+Висмута субнитрат+Келлин+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат+Рутозид,таблетки,,
Викаир,Аира обыкновенного корневища+Висмута субнитрат+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат,таблетки,,
Викаир,Аира обыкновенного корневища+Висмута субнитрат+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат,таблетки,,
Викаир,Аира обыкновенного корневища+Висмута субнитрат+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат,таблетки,,
Викаир Авексима,Аира обыкновенного корневища+Висмута субнитрат+Крушины ольховидной кора+Магния карбонат+Натрия гидрокарбонат,таблетки,,
Ультра-адсорб,Активированный уголь,капсулы,200 мг,
Карбопект,Активированный уголь,капсулы,110 мг,
Экстрасорб,Активированный уголь,капсулы,"220 мг, 250 мг",
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный,Активированный уголь,таблетки,"250 мг, 500 мг",
Уголь активированный,Активированный уголь,таблетки,250 мг,
Уголь активированный-УБФ,Активированный уголь,таблетки,250 мг,
