guideline_id,filename,guideline_name,icd10,age_category,file_size_bytes,sha256,candidate_section_count,candidate_chunk_count
1000_1,1000_1.pdf,Эозинофильный эзофагит,K20,"Взрослые, дети",3372914,f99e3f9c60f3d269703253521bb41607b933a4de42623ac19800067c6dbe6559,14,52
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,1140342,5f8b581e13065e2f4f3545365d1c22fdac58a982c3809f66e2c4f8adba59f3a2,27,102
1002_1,1002_1.pdf,Пиодермия гангренозная,L88,"Взрослые, дети",1520515,29c4b89a96ba63a250ccd74e0cfd4872a8050b499174806e4119099097c96023,23,86
1003_1,1003_1.pdf,Аскаридоз,B77,"Взрослые, дети",1253522,46787bde263d6c87a6da84b87891eb9b02403cab93ff34aebbdded736857d3f5,1,0
1004_1,1004_1.pdf,Талассемия,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9","Взрослые, дети",1824710,528c1290cec22f9bda3b70be9f9f8efffae351be386c9e2983ca5b562e1b856b,34,89
1005_1,1005_1.pdf,Системный склероз,"M34.0, M34.8, M34.9",Дети,3006486,2d98515224a739aaa0361dbfe367e4aa58f0b590e83274ee21a6224b2576f30f,35,258
1006_1,1006_1.pdf,Острая ишемия конечностей,"I74.0, I74.1, I74.2, I74.3, I74.5, I74.8, I74.9, I77.0, I77.8, S55.1","Взрослые, дети",2225077,db2d0d7f32a40b007d933998d9b0ccdbcb64a8034f8d0437a5fffb8e728d4284,58,162
1007_1,1007_1.pdf,Воспалительные болезни органов мошонки,"N45.0, N45.9, N49.2",Взрослые,819597,07ecbd403e180088fcf6bdb27c7b54c92da5fcfe24c5d8a3f9ade01f4a45fc3c,19,29
1008_1,1008_1.pdf,Дилатационная кардиомиопатия,"I42.0, I42.6, I42.7, I42.8, I42.9, I43.0, I43.1, I43.2, I43.8, O90.3",Взрослые,3168214,f66356c095317cd4fd31077e539822b9c7d81e4a26349d8f509ff8421c07797a,60,205
1009_1,1009_1.pdf,Цитомегаловирусная инфекция (ЦМВИ) у взрослых,B25,Взрослые,2287640,97d766cd71ecb40fae24d310942ac1c7903354649a13ecd571111de7374159d3,32,98
