guideline_id,filename,guideline_name,guideline_label,icd10,age_category,section_order,section_title,canonical_title,section_kind,chunks,chars
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",1,"2980.12265 75. Sawas T, Dhalla S, Sayyar M, et al. Systematic review with meta-analysis:","75. sawas t, dhalla s, sayyar m, et al. systematic review with meta-analysis",numbered,17,29751
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",2,ПРИЛОЖЕНИЕ А1. СОСТАВ РАБОЧЕЙ ГРУППЫ ПО РАЗРАБОТКЕ И,состав рабочей группы по разработке и,appendix,10,17177
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",3,ПРИЛОЖЕНИЕ А2. МЕТОДОЛОГИЯ РАЗРАБОТКИ КЛИНИЧЕСКИХ,методология разработки клинических,appendix,3,3847
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",4,"ПРИЛОЖЕНИЕ А3. СПРАВОЧНЫЕ МАТЕРИАЛЫ, ВКЛЮЧАЯ СООТВЕТСТВИЕ","справочные материалы, включая соответствие",appendix,4,6472
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",5,ПРИЛОЖЕНИЕ Б. АЛГОРИТМЫ ДЕЙСТВИЙ ВРАЧА,алгоритмы действий врача,appendix,1,41
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",6,Приложение Б1. Алгоритм диагностики эозинофильного эзофагита [1],алгоритм диагностики эозинофильного эзофагита [1],appendix,1,64
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",7,Приложение Б2. Алгоритм лечения эозинофильного эзофагита [1],алгоритм лечения эозинофильного эзофагита [1],appendix,1,1763
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",8,Приложение Б3. Алгоритм диетотерапии при ЭоЭ [1],алгоритм диетотерапии при эоэ [1],appendix,1,1353
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",9,ПРИЛОЖЕНИЕ В. ИНФОРМАЦИЯ ДЛЯ ПАЦИЕНТА,информация для пациента,appendix,2,3719
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",10,"ПРИЛОЖЕНИЕ Г1 - ГN. ШКАЛЫ ОЦЕНКИ, ВОПРОСНИКИ И ДРУГИЕ","шкалы оценки, вопросники и другие",appendix,1,138
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",11,Приложение Г1. Опросник для оценки выраженности дисфагии у пациентов с ЭоЭ,опросник для оценки выраженности дисфагии у пациентов с эоэ,appendix,2,2717
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",12,Приложение Г2. Оригинальная классификация и оценочная шкала признаков,оригинальная классификация и оценочная шкала признаков,appendix,2,3237
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",13,Приложение Г3. Валидированная шкала ЭоЭ-специфичных гистологических,валидированная шкала эоэ-специфичных гистологических,appendix,5,8282
1000_1,1000_1.pdf,Эозинофильный эзофагит,1000_1 — Эозинофильный эзофагит,K20,"Взрослые, дети",14,Приложение Г4. Индекс клинико-морфологической активности эозинофильного,индекс клинико-морфологической активности эозинофильного,appendix,2,2681
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,1,1.1 Определение заболевания или состояния (группы заболеваний или,определение заболевания или состояния (группы заболеваний или,numbered,1,1182
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,2,1.2 Этиология и патогенез заболевания или состояния (группы заболеваний,этиология и патогенез заболевания или состояния (группы заболеваний,numbered,2,2872
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,3,1.3 Эпидемиология заболевания или состояния (группы заболеваний или,эпидемиология заболевания или состояния (группы заболеваний или,numbered,3,5253
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,4,1.4 Особенности кодирования заболевания или состояния (группы,особенности кодирования заболевания или состояния (группы,numbered,1,332
1001_1,1001_1.pdf,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,1001_1 — Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,"M19.0, M19.1, M19.2, M19.8",Дети,5,1.5 Классификация заболевания или состояния (группы заболеваний или,классификация заболевания или состояния (группы заболеваний или,numbered,3,4781
